case_id,axis,status,reason
holdout-07,exceptions_self_exceptions,tension,Justice undefined_enforcement concern is not mirrored by an exemption finding
holdout-07,reversibility,complementary,Justice asks for correction while Tower asks for isolation communication evidence
holdout-07,reasonable_asymmetry,tension,Justice mixed versus Reversal/Tower reasonable_asymmetry
holdout-07,missing_information,tension,Justice 3 missing items Reversal 0 and Tower 1
holdout-07,opposite_interpretation,cannot_compare,Tower evidence_gap has no normalized counterpart
holdout-07,improvement_questions,complementary,Question coverage differs materially
holdout-07,ai_cannot_assess,consistent,All retain human_review_required true
holdout-08,extracted_subjects,consistent,All identify subscriber and service operator
holdout-08,possibly_missed_subjects,consistent,The same core actors are recorded by all lenses
holdout-08,rights_benefits,consistent,All retain a stop/refund or recovery gap
holdout-08,responsibility_burden_risk,consistent,All identify subscriber/operator consequences
holdout-08,exceptions_self_exceptions,consistent,No explicit self-exemption finding is recorded
holdout-08,reversibility,consistent,All retain recovery or refund remediation as a finding
holdout-08,reasonable_asymmetry,consistent,All concerns_require_review
holdout-08,missing_information,consistent,All have a recorded finding; missing-info counts differ but the core gap is explicit
holdout-08,opposite_interpretation,cannot_compare,No common opposite-direction field
holdout-08,improvement_questions,complementary,Justice/Reversal/Tower question fields are not identical
holdout-08,ai_cannot_assess,consistent,All retain human_review_required true and two safety events
holdout-09,extracted_subjects,consistent,No lens emits finding actors
holdout-09,possibly_missed_subjects,complementary,Tower records one missing-information item while Justice records three and Reversal none
holdout-09,rights_benefits,cannot_compare,No findings or common rights field
holdout-09,responsibility_burden_risk,cannot_compare,No findings and no normalized burden field
holdout-09,exceptions_self_exceptions,consistent,No self-exemption finding is recorded
holdout-09,reversibility,consistent,No lens records a reversibility finding
holdout-09,reasonable_asymmetry,consistent,All record reasonable_asymmetry
holdout-09,missing_information,consistent,All retain human review; exact missing-item counts differ but no substantive finding is emitted
holdout-09,opposite_interpretation,cannot_compare,No common opposite-direction field
holdout-09,improvement_questions,complementary,Justice and Tower retain one question while Reversal retains none
holdout-09,ai_cannot_assess,consistent,All retain human_review_required true
